RULE ID,SECURITY GROUP NAME,FROM PORT,TO PORT,PROTOCOL,FROM REFERENCE,FROM TYPE,DESCRIPTION,DIRECTION,Notes
119,Mgt_MySQL,3306,3306,tcp,Mgt_PrivacyIdea,Group,Mgt_PrivacyIdea to connect via 3306 to Mgt_MySQL,Traversal,
120,Mgt_ToolingALB-06,80,80,tcp,Mgt_RDSH,Group,Mgt_RDSH to connect via 80 to Mgt_ToolingALB-06,Traversal,
121,Mgt_EnterpriseALB-05,5601,5601,tcp,Mgt_RDSH,Group,Mgt_RDSH to connect via 5601 to Mgt_EnterpriseALB-05,Traversal,
122,Mgt_PrivacyIdea,443,443,tcp,Mgt_RDSH,Group,Mgt_RDSH to connect via 443 to Mgt_PrivacyIdea,Traversal,
123,Mgt_Artifactory,8081,8081,tcp,Mgt_ToolingALB-06,Group,Mgt_ToolingALB-06 to connect via 8081 to Mgt_Artifactory,Traversal,
124,Mgt_ToolingALB-06,8081,8081,tcp,MGMTTemp,Group,MGMTTemp to connect via 8081 to Mgt_ToolingALB-06,Traversal,
125,Mgt_ToolingALB-06,8081,8081,tcp,APPDATATemp,Group,APPDATATemp to connect via 8081 to Mgt_ToolingALB-06,Traversal,
126,Mgt_ToolingALB-06,8081,8081,tcp,DMZTemp,Group,DMZTemp to connect via 8081 to Mgt_ToolingALB-06,Traversal,
127,Mgt_ToolingALB-06,8081,8081,tcp,Mgt_Windows_Instances,Group,Mgt_Windows_Instances to connect via 8081 to Mgt_ToolingALB-06,Traversal,
128,Mgt_ToolingALB-06,8081,8081,tcp,Mgt_RHEL_Instances,Group,Mgt_RHEL_Instances to connect via 8081 to Mgt_ToolingALB-06,Traversal,
129,Mgt_ToolingALB-06,8081,8081,tcp,AppD_Windows_Instances,Group,AppD_Windows_Instances to connect via 8081 to Mgt_ToolingALB-06,Traversal,
130,Mgt_ToolingALB-06,8081,8081,tcp,AppD_RHEL_Instances,Group,AppD_RHEL_Instances to connect via 8081 to Mgt_ToolingALB-06,Traversal,
131,Mgt_ToolingALB-06,8081,8081,tcp,dmz_Windows_Instances,Group,dmz_Windows_Instances to connect via 8081 to Mgt_ToolingALB-06,Traversal,
132,Mgt_ToolingALB-06,8081,8081,tcp,dmz_RHEL_Instances,Group,dmz_RHEL_Instances to connect via 8081 to Mgt_ToolingALB-06,Traversal,
133,dmz_Proxy,3128,3128,tcp,MGMTTemp,Group,MGMTTemp to connect via 3128 to dmz_Proxy,Traversal,
134,Mgt_AWX,80,80,tcp,Mgt_ToolingALB-06,Group,Mgt_ToolingALB-06 to connect via 80 to Mgt_AWX,Traversal,
135,Mgt_ToolingALB-06,80,80,tcp,Mgt_RevProxy,Group,Mgt_RevProxy to connect via 80 to Mgt_ToolingALB-06,Traversal,
